"Url","Name","ItemCount","Status"
"/sites/msteams-E/Shared Documents/E/Scotch Hall","Scotch Hall","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Nordiska Kompaniet","Nordiska Kompaniet","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Intu","Intu","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Landsec","Landsec","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Forestside","Forestside","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/EML Bubbles","EML Bubbles","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Bet365","Bet365","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/S?pp? (Finland)","S?pp? (Finland)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Horticultural Trades Association","Horticultural Trades Association","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Athlone","Athlone","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Via Outlets","Via Outlets","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/?rnsk?ldsvik","?rnsk?ldsvik","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Tripla (Finland)","Tripla (Finland)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Newport","Newport","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Sala - F?retagscentrum i Sala ek f?r","Sala - F?retagscentrum i Sala ek f?r","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Card Production","Card Production","0","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Lunds Citysamverkan","Lunds Citysamverkan","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Instabank","Instabank","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Avinity","Avinity","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Betsson","Betsson","12","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/EML NOR","EML NOR","0","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Mulga Ryo Shopping","Mulga Ryo Shopping","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Overgate","Overgate","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Wolverhampton","Wolverhampton","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Veturi (Finland)","Veturi (Finland)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/NK (Sverige)","NK (Sverige)","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Value Retail","Value Retail","9","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Redeem - Three","Redeem - Three","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/S?ffle","S?ffle","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/V?stervik Fram?t","V?stervik Fram?t","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Pite?","Pite?","4","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Roomex","Roomex","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Klepierre - Iberia","Klepierre - Iberia","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Sello (Finland)","Sello (Finland)","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Kramfors handel","Kramfors handel","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/K?ping","K?ping","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Issuing Projects","Issuing Projects","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/ECE","ECE","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/PerfectCard Transitions","PerfectCard Transitions","11","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Coinjar","Coinjar","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Microlog - Steen Str?m Norge","Microlog - Steen Str?m Norge","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Linde City Lindesberg","Linde City Lindesberg","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Waasland","Waasland","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Enniskillen","Enniskillen","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Neinver","Neinver","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Hammerson","Hammerson","8","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Strabane","Strabane","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Cushman & Wakefield","Cushman & Wakefield","19","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Elfin Market","Elfin Market","8","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/McArthur Glen","McArthur Glen","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Oslo Fashion Outlet (Vestby C)","Oslo Fashion Outlet (Vestby C)","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Klepierre - Germany","Klepierre - Germany","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Ljusdal","Ljusdal","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/V?xj? City","V?xj? City","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Touchwood","Touchwood","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Foyleside","Foyleside","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Blackhawk_Didix","Blackhawk_Didix","9","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Fair For You","Fair For You","10","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/East Kilbride","East Kilbride","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/The Thistles","The Thistles","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Link?ping City","Link?ping City","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/AireSur","AireSur","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/GVC","GVC","10","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Princesshay Exeter","Princesshay Exeter","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Kv Caroli","Kv Caroli","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/REALM","REALM","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/The Marshes","The Marshes","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/S?dert?lje Centrumf?rening","S?dert?lje Centrumf?rening","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Stockholm INFO","Stockholm INFO","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Torsby Alltid Tillsammans","Torsby Alltid Tillsammans","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Unibail Rodamco Westfield","Unibail Rodamco Westfield","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Elgin","Elgin","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Allgo","Allgo","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Bubbles Incentive","Bubbles Incentive","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/3i4im","3i4im","9","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Jigsaw","Jigsaw","8","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Skellefte?","Skellefte?","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Ludvika","Ludvika","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/CC Twenty (Italia)","CC Twenty (Italia)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Ume?","Ume?","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Vimpeln (Alings?s)","Vimpeln (Alings?s)","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Causeway Coast and Glens","Causeway Coast and Glens","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/TBS Europe","TBS Europe","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Client 1","Client 1","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Tran?s","Tran?s","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Shop in Kortrijk","Shop in Kortrijk","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Edge (now Opia)","Edge (now Opia)","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Salisbury","Salisbury","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Epipoli","Epipoli","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/EML Rewards","EML Rewards","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Paygoo","Paygoo","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Gentalia","Gentalia","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/ScalaPay","ScalaPay","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Churchill Square","Churchill Square","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Shawlands","Shawlands","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Visa","Visa","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/The Liberty","The Liberty","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/BINs and Issuers","BINs and Issuers","10","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Sundsvall - KB Lyckan (DI?S)","Sundsvall - KB Lyckan (DI?S)","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/The Gyle","The Gyle","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/V?rnamo","V?rnamo","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/OLD - Present.se","OLD - Present.se","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/T1 Mall of Tallinn (Estonia)","T1 Mall of Tallinn (Estonia)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Fortuna","Fortuna","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Uddevalla","Uddevalla","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Leicester","Leicester","4","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/?stersund Destination (fd ?stersund Handel)","?stersund Destination (fd ?stersund Handel)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Stockholm Quality Outlet Barkarby Newsec","Stockholm Quality Outlet Barkarby Newsec","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Klepiere - Belgium","Klepiere - Belgium","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Etsy","Etsy","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/V?ster?s Citysamverkan","V?ster?s Citysamverkan","4","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/SKS","SKS","5","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Presend Intern","Presend Intern","12","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Wijnegem","Wijnegem","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Touchwood Shopping Centre","Touchwood Shopping Centre","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Nordby Shopping","Nordby Shopping","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Stora Saluhallen G?teborg - G?teborgs Saluhall","Stora Saluhallen G?teborg - G?teborgs Saluhall","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/S?derhamns Cityf?rening","S?derhamns Cityf?rening","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Ulricehamn","Ulricehamn","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Redbrick Mill","Redbrick Mill","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Nyk?ping","Nyk?ping","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/The Centre","The Centre","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Alegro","Alegro","8","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/01 - New Client Template","01 - New Client Template","7","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/CastleCourt","CastleCourt","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Regent Street","Regent Street","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Visby","Visby","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Drake Circus","Drake Circus","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Paddy Power","Paddy Power","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Gloucester Quays","Gloucester Quays","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Golden Square","Golden Square","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Boots","Boots","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Unibail-Rodamco","Unibail-Rodamco","3","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Lowry Outlet","Lowry Outlet","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/E","E","180","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Customate LTD","Customate LTD","1","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Abbey Centre","Abbey Centre","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Mylly (Finland)","Mylly (Finland)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/West End (Scotland)","West End (Scotland)","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Swirl","Swirl","2","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Marlowes","Marlowes","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Victoria Square","Victoria Square","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Liverpool FC","Liverpool FC","6","NOT FOUND"
"/sites/msteams-E/Shared Documents/E/Trollh?ttan Centrum AB","Trollh?ttan Centrum AB","2","NOT FOUND"
"/sites/msteams-U/Shared Documents/U/Client 1","Client 1","2","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/EML Branding - templates and backgrounds","EML Branding - templates and backgrounds","5","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Registers","Registers","3","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Government Authorities and Regulators","Government Authorities and Regulators","3","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Issuing Banks","Issuing Banks","1","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Forms, Templates and Guides","Forms, Templates and Guides","15","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Marketing and Disclaimer Guides","Marketing and Disclaimer Guides","7","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Board Reporting","Board Reporting","4","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Staff Folders","Staff Folders","0","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Cardholder Complaints","Cardholder Complaints","6","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/AML CTF","AML CTF","13","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/FBT Card Documentation","FBT Card Documentation","5","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/2 Templates","2 Templates","3","NOT FOUND"
"/sites/CFRP-A/Shared Documents/A/Memos and Advice","Memos and Advice","3","NOT FOUND"
